,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-0.015501355355633323,0.005476883978218893,0.006333864481400164,0.005326539519263867,-0.007658559220496978,-0.07765303351386406,-0.04744006949728754,-0.010011689306800573,-0.03591993265609439,-0.03897365240728574,-0.017680970246828423,0.030175253574949986,-0.07153678417843923,0.03343509889118477,-0.007828494704688835,-0.0008279213306352156,0.005962861379067725,0.022721898526711415,-0.0016052582763079648,-0.05699502978296829,0.07218728343376975,0.021346199512723114,-0.004465163181421128,0.0486529175807234,-0.027435911111163305,0.01973473211305566,-0.04680158595565352,-0.029083434278862865,-0.05719580266627775,-0.033679998187444375,-0.033326560211223856,-0.0122881445903515,-0.0049074724100855,-0.0033574815948732143,-0.02778207925489686,-0.07830335080493131,-0.040267365608877094,-0.0028206622296728435,-0.022704835997360864,-0.022565026861918146,-0.04343498770152648,0.06846766041962851,0.020743413570193703,-0.05076128891778825,-0.0235539704179129,-0.011560266173339776,-0.015214329570438336,0.009374716298746507,-0.010752605779177483,-0.006157531142574869,0.006143731984041501,-0.0015703119614998075,-0.01878888748887012,0.019639660300747964,0.015905679187265084,-0.017229060810872332,-0.01628751673055985,0.04297452112789197,0.018496969302405956,0.04343794762679986,-0.051570534342791206,0.02520867395411384,0.03359720281102818,-0.0030354159917542656,0.05059572252076913,-0.007338379326585529,0.0008982474293338506,0.044467990916977784,0.049301757318738385,0.004371166233607457,0.04567924209086833,-0.03322916133296932,-0.017742248753386328,-0.042069346223035396,0.01635652211267011,-0.04509642714268662,-0.005727001805902614,-0.00854461238358786,0.0034795430792711308,-0.006482550436601276,0.011634987695910858,-0.009058009024962045,-0.037113744339124836,-0.015740065696516526,0.02673716427845161,-0.009475863164868622,-0.05026499182030534,-0.0008056117049502149,-0.06008368536730942,-0.009128453061793492,-0.0364804314451798,-0.023888351587425097,-0.009548899365962277,0.018232442379918692,-0.03646653613256958,-0.013393160640709051,0.029142458388802212,0.05141285041587123,0.04428088416557634,-0.020263933849997685
1,-0.015627724796616067,0.005860054905560759,0.0055457232575447536,0.005157174006666548,-0.0056219757356261385,-0.07602058771285242,-0.04799554085961675,-0.010134093673050648,-0.03551465728582073,-0.03839413952063227,-0.017565180205718987,0.028360129772529608,-0.07066996813234121,0.03341071276343556,-0.007739919722457807,-0.0008368945552993343,0.003928416094245383,0.022046317687522878,-0.0029958051852444806,-0.05896351893160194,0.0714448438163844,0.02035847629295555,-0.003846391218507903,0.048262002079509154,-0.025400036788063705,0.021808712740561655,-0.04606072004769099,-0.02710502030481136,-0.054668068842054246,-0.03312730745522405,-0.032741659781050966,-0.01209010627514431,-0.004497348435437939,-0.003266115369254489,-0.027946259459385545,-0.07743539193076214,-0.04053721049743108,-0.0029939052119746156,-0.02408579783671584,-0.023902967677247644,-0.04301628951863726,0.06803102140006081,0.019700910266379157,-0.049742673466300416,-0.023555517646315863,-0.011048074195256535,-0.015056530985033754,0.009553342775156126,-0.009490646782800993,-0.006128006447328213,0.005101211943672201,-0.00155381218983618,-0.015495280944670283,0.02056375631233637,0.016385046616849298,-0.01655810690580219,-0.015139444832052077,0.04280870322897648,0.018379791652507367,0.043237172803400704,-0.05355187047091159,0.023708877754285512,0.03304122398022718,-0.0029222267036937448,0.05089252374501917,-0.006391927259946903,0.0020849897856184676,0.04498755306939485,0.04875944848693509,0.0050259263335470416,0.04759754476576296,-0.03437692219454246,-0.016972450983920508,-0.04107922562170951,0.017907983906401824,-0.044498863857302645,-0.005727537333516105,-0.009058446910786212,0.0025514182019817176,-0.006038619792264704,0.009771411296491712,-0.008213256630569855,-0.03683216286865786,-0.01636711852403687,0.029267200887590588,-0.008359939590959842,-0.04954010288572973,0.0022642353913625343,-0.06008074445702573,-0.006711898844583172,-0.034593477402311806,-0.02559258575095415,-0.008821482796081543,0.018352148666928338,-0.03613839246170977,-0.014539644371792478,0.028239119996701697,0.05236543552819098,0.04271687874870056,-0.01970942794950019
2,-0.015750695172611743,0.006242590245090613,0.004754278199443093,0.004987620911295293,-0.00358698675586,-0.07438341641454158,-0.04852753254407799,-0.010256416275554164,-0.03510925314913747,-0.037813010264231214,-0.017449361949388988,0.02652902488951537,-0.06980235133681512,0.03338162307263156,-0.00765200438024304,-0.0008458809269402652,0.0018828276794055348,0.021368971877653017,-0.004390769794894747,-0.06081080079293586,0.070687268284709,0.019364688225669578,-0.0032280464966877526,0.04787081183190428,-0.023360792873196107,0.023862184988618612,-0.045319074915704416,-0.02511573215795809,-0.0520639862008253,-0.03257400031212186,-0.03214534808399641,-0.01189205823992676,-0.004090334357053041,-0.003174812425779285,-0.028105345714257286,-0.07656214989360421,-0.040787510743648676,-0.0031673356893544063,-0.025458860962116428,-0.02523079692100911,-0.04258659588284686,0.06758590005654766,0.018656370863711774,-0.04870261095123325,-0.023554902565102245,-0.010535497251373965,-0.014898065549486575,0.009730085210865418,-0.008228009554864973,-0.006098481752208394,0.004040097998091607,-0.0015373124184349675,-0.012189616096398044,0.021484038670699524,0.016862947512975946,-0.01588594891626229,-0.013978649721116102,0.04263620707893282,0.018262174570236406,0.042970167834359405,-0.055464284450617955,0.022202883725453062,0.03246599153885474,-0.002809971794246641,0.05114690720141043,-0.005445919101608381,0.0032686064458092258,0.04549099257818688,0.048213450685045026,0.005679143653553107,0.049380753099763426,-0.03546022301579214,-0.01620169909214622,-0.04008091070918569,0.01944681896239233,-0.04388620020535243,-0.00572850981198419,-0.009571871949367542,0.001617893548263987,-0.00559571686740915,0.007889143162779728,-0.007369288528054929,-0.03653046262581611,-0.016989149628920446,0.03174055728665314,-0.007243738559266558,-0.04877406732614413,0.005323861004459859,-0.059945517581282505,-0.0042934697677596756,-0.03266175426040078,-0.02727105334955357,-0.00809374411384936,0.018453522495456287,-0.035738647622434346,-0.01567232517342302,0.027243748381935797,0.05322302730649266,0.041070369704734995,-0.019151182019387977
3,-0.015866817060746403,0.006623951046862744,0.003958084547804146,0.004817756833947702,-0.001559567537575903,-0.07273834213209188,-0.04902157546047887,-0.010378644290373369,-0.03470364039243749,-0.03722926636832343,-0.01733350019957389,0.02467223094222136,-0.06893337213098316,0.03334435267396253,-0.007567051473649558,-0.0008548911241547754,-0.00017885799956562378,0.020688811640337035,-0.005790724294715038,-0.06245797358213677,0.06990330619311225,0.01836060668575904,-0.0026104470345219557,0.04747913918275171,-0.021316374379494112,0.02587872083930219,-0.04457612789997138,-0.02310890427897809,-0.04933923542265915,-0.03201962243661308,-0.03153153614097534,-0.011694004314716781,-0.0036912572447118184,-0.003083602363805926,-0.02825551048753007,-0.07567971752960868,-0.04100418138523026,-0.003340954621763061,-0.026816961002000667,-0.02654083811320207,-0.04213795714328752,0.06712588707946955,0.01760858860220981,-0.04762792430208406,-0.023550667246825696,-0.010022795171946694,-0.01473863769547565,0.00990323577387241,-0.006965418671659792,-0.006068957057713407,0.0029481495866625143,-0.0015208126481617433,-0.0088687138232725,0.022397487643305784,0.01733821095565728,-0.015211709564424313,-0.012794873380238079,0.04245222229530507,0.01814385339267603,0.04259128273312307,-0.05726073982782212,0.020686965984145843,0.03185983056021072,-0.0026996991082054883,0.05132720211435793,-0.00450177447614811,0.0044456222595441,0.04596611692758758,0.04766110650505395,0.006329266930517923,0.05094120364017061,-0.03643255567355304,-0.015429275006717598,-0.03906919087766812,0.02096446175288967,-0.04324819403279868,-0.005730122893763678,-0.010082613951991651,0.0006751848030406416,-0.005155446089822723,0.00597364520276995,-0.0065331438906797625,-0.0361957649573853,-0.017603177629908803,0.03411667326484424,-0.0061303689648872246,-0.047940796356692655,0.008364368650099787,-0.05959408464965133,-0.00187034189754139,-0.03065443346387423,-0.028900191177809228,-0.007365257546087927,0.01852716205842726,-0.03522207142285136,-0.01677590627896586,0.02610580182888709,0.05392426338743021,0.0392939757983199,-0.01858682985082765
4,-0.015971178688564295,0.00700381326022071,0.003158074101621152,0.004647559085034477,0.00045262659537898464,-0.07108356455974676,-0.049470468078179605,-0.010500629083139888,-0.03429777524542796,-0.036642382398702905,-0.0172175824071841,0.022786701935483406,-0.06806267934251091,0.03329675474576444,-0.007487533431495158,-0.0008639284141390936,-0.0022539066949212416,0.020005583551492692,-0.00719069598387272,-0.06386257952053703,0.06908555086024701,0.01734417704669997,-0.001993478007455385,0.04708684392596088,-0.019265951551712138,0.027847351073401642,-0.04383156140718073,-0.021080426750681218,-0.04647690196906038,-0.031463811256904714,-0.030897965882804128,-0.01149595205392238,-0.0033042032039061267,-0.0029924411621827175,-0.02839339739383779,-0.0747853772637828,-0.041176943699839604,-0.0035144678957106223,-0.028152385827981394,-0.02782575120644671,-0.041664647657933616,0.06664662648107121,0.01655729311002349,-0.046512363188761625,-0.023541601736985406,-0.009510322692485782,-0.014577971162234976,0.01007153323633438,-0.00570353461938118,-0.006039432364681089,0.0018224835987586587,-0.0015043128805160232,-0.00553353300030046,0.023302118601915556,0.01781008189131142,-0.014534375997824686,-0.011575533898397597,0.04225385280205114,0.018024766908914063,0.04207564334275913,-0.058912568102242005,0.019160102877317176,0.031218868007279556,-0.0025920613279081335,0.051412717504334196,-0.003561219182119529,0.005613183945351822,0.046404824242,0.04710080023378164,0.00697506157685057,0.05223798320875542,-0.037258678188404476,-0.014654355294377835,-0.03804116176179554,0.022457292837588717,-0.0425783643288362,-0.0057318461322995624,-0.01058455885378086,-0.0002776335610330684,-0.004718578911871604,0.004016832502514379,-0.005714199619212851,-0.03582040364443542,-0.018205904405775034,0.03637295145703579,-0.005022946729894359,-0.04702677948525128,0.011381825677707532,-0.05898452211341909,0.0005686281986388472,-0.028550132606031682,-0.030454571364679738,-0.00663462399903722,0.018573359869788364,-0.03456230695495062,-0.01782714219828678,0.02481643972273214,0.05444072648793178,0.03737426717255804,-0.018014288554608696
5,-0.016057660938708952,0.0073819791610273385,0.0023566735175922374,0.00447707047523404,0.0024412164314619837,-0.06941819010171485,-0.04987139010163347,-0.010622095125449737,-0.03389164016910033,-0.03605216444664748,-0.0171015971994291,0.020873049804418467,-0.0671900578291493,0.03323729443997911,-0.0074157973206624645,-0.000872990893239271,-0.00433509605039616,0.019319488684428177,-0.008582121925765565,-0.06500491207317832,0.06822883030950112,0.016314555248007356,-0.0013766964569710699,0.04669381473071949,-0.017209388196708836,0.029759748392813905,-0.043085191941479584,-0.01902803920024682,-0.04347731760304709,-0.0309062677811274,-0.03024497688591333,-0.01129791143199707,-0.0029323987905432287,-0.0029012288887545275,-0.02851593718874474,-0.07387714886897828,-0.0412980241639612,-0.0036873688098986146,-0.029456944123147366,-0.029078338236753966,-0.04116240041720127,0.06614489137790441,0.015502758627614145,-0.04535410990189868,-0.023526641060672204,-0.008998430836099372,-0.014415756273817762,0.010233962994014616,-0.004442729640622611,-0.0060099076742479605,0.0006658346048095009,-0.0014878131175985845,-0.00218724740574287,0.02419644913732277,0.018278016558969035,-0.01385276762014789,-0.010306169374131582,0.04203909016328687,0.01790497365016889,0.04140826573350663,-0.060402667815634456,0.01762280476101388,0.03054326060873929,-0.002487378339509073,0.051387954113949606,-0.0026261031808224138,0.006768883450081363,0.04680083719322036,0.046531421196297384,0.007615473173283144,0.05325277309,-0.03791143798306205,-0.013875991797648288,-0.03699546749361797,0.02392433238429049,-0.04187265770676818,-0.005732586792770202,-0.011068823708778826,-0.0012395798008647137,-0.004285097120222532,0.0020145914702602045,-0.004922551384134825,-0.035400265852137645,-0.01879346340465654,0.03849502832325406,-0.003924178588879803,-0.046026603903583825,0.014375316483407702,-0.058101568379746726,0.0030401920386175507,-0.02633428465004686,-0.031907729591599404,-0.00589968089489794,0.018597703019387044,-0.03374580435782872,-0.01879785250029405,0.02338752838611272,0.054761136500558194,0.035315004781718264,-0.017431528884398854
6,-0.016119501954792555,0.007758326341721257,0.001557348518267122,0.004306379604416622,0.004397166153370787,-0.0677419011297533,-0.05022256047443999,-0.010742696905076865,-0.0334852298662069,-0.035458560470534084,-0.01698553469180967,0.018934641930163004,-0.06631537012162741,0.033164891200060526,-0.00735416948820397,-0.0008820735803917472,-0.006412533753311859,0.01863109784594585,-0.009954319381116216,-0.06587367075970017,0.06732972533606132,0.01527197108134524,-0.0007594732885486696,0.04629996543762698,-0.015146923886364669,0.03161010256118273,-0.04233688482916683,-0.016950437735860517,-0.040347153147964714,-0.03034671032918131,-0.02957393999689003,-0.011099896420045278,-0.0025786586434339027,-0.002809827901569163,-0.028620068304963418,-0.0729534726211915,-0.04136023817438733,-0.0038590050960106022,-0.030722070459735296,-0.030291266178740103,-0.04062733847097433,0.06561837324335276,0.014445717332244971,-0.04415284475682452,-0.02350476104586551,-0.008487526982453005,-0.014251688332403244,0.010389673569109456,-0.003183281476464178,-0.00598038298781213,-0.0005155721759053449,-0.0014713133620663063,0.001165413238003518,0.02507945846151265,0.018741651621216486,-0.013165620057637524,-0.008972038144519376,0.04180665471916394,0.017784635885571748,0.04058221871361069,-0.06171714390714133,0.01607680464497596,0.029836026459726498,-0.002385776132643784,0.05124204779339178,-0.0016984184781305045,0.007910535561955125,0.04714948370663083,0.045952303127467634,0.0082495397913775,0.05398474907047296,-0.038365993523410094,-0.013093176139669675,-0.03593133219536185,0.02536685084932678,-0.04112777266704691,-0.005730919228693541,-0.011524966319125723,-0.002208383307850833,-0.0038545462074065276,-3.419964710378901e-05,-0.004168654073195077,-0.03493250051528492,-0.01936169352279681,0.04047471326577619,-0.0028368668471522463,-0.04493753714215047,0.017345472711484716,-0.056941158076489834,0.005562749540136531,-0.0239951296432097,-0.03323246022664668,-0.005157881747960608,0.018609818542195566,-0.032763489319930124,-0.01965879802045114,0.02184429231785405,0.054887377795900055,0.03313292710391146,-0.016836489410137663
7,-0.01614929795985498,0.008132761373702455,0.0007641465668803499,0.00413560314794937,0.006312029826465089,-0.06605473548440494,-0.05052171159877381,-0.010861976396729058,-0.033078545875822686,-0.034861575980446535,-0.01686938458512927,0.01697692549090584,-0.06543852245821807,0.03307880607246524,-0.007304395647385744,-0.0008911694513596484,-0.008475122398667935,0.017941236084308768,-0.011295286455879775,-0.06645961744715351,0.06638597908663488,0.01421732963574596,-0.0001410354991472273,0.045905233555915,-0.013078914400133155,0.03339401757803045,-0.04158651473678681,-0.01484660684733865,-0.03709441752267714,-0.029784858392732618,-0.028886470873183724,-0.01090192294082967,-0.002244815530257056,-0.0027180709028374866,-0.028702594607440426,-0.07201299952729288,-0.041356226611212014,-0.004028623030300904,-0.03193898974818129,-0.03145698947325522,-0.040055534642500536,0.06506540746042774,0.01338720248520573,-0.04290838583093814,-0.02347490318034248,-0.007977923725156107,-0.01408540901777851,0.01053789214123069,-0.0019248807807097843,-0.0059508583069958175,-0.0017137855699271988,-0.0014548136171024552,0.004519878730971344,0.02595034771599305,0.019200702001044585,-0.012471535202062137,-0.007557522912411437,0.04155592392598461,0.017663982880839486,0.03959770461418571,-0.06284182228438394,0.01452470055832117,0.029102143011588925,-0.002287170096158215,0.05096835423226435,-0.0007800061373896997,0.009036026718055788,0.04744763708662585,0.04536318515508467,0.008876308160864358,0.054446519219276436,-0.03859793339154407,-0.01230480647230143,-0.03484810666001567,0.026787251815484116,-0.04034035921071545,-0.005725124895723165,-0.01194113192335277,-0.0031809327618937053,-0.003425759354466291,-0.0021288046243276727,-0.0034616369323105384,-0.03441455881650898,-0.01990585090515908,0.04230828276622335,-0.0017626919727317704,-0.04375706939238505,0.020292869774841748,-0.05550294731613518,0.008156023714404876,-0.02152169839303876,-0.034401445547184,-0.004406200540272787,0.018621515138857295,-0.03160718095046777,-0.02038012441347881,0.02021993743237138,0.05483100279054798,0.030854946387437118,-0.01622689932898192
8,-0.016139038907183455,0.008505309363393545,-1.8020132465655856e-05,0.003964910531649719,0.008179315754466723,-0.06435721083482426,-0.05076770030916011,-0.010979318336918729,-0.03267160167710885,-0.03426134571572547,-0.01675313597993093,0.015007709123273849,-0.06455948610696549,0.032978797465197544,-0.007267125396873798,-0.0009002665138032749,-0.010509314839249832,0.017250979118495626,-0.012590662443729458,-0.06675702679160517,0.06539644173272105,0.013152237027671857,0.00047968294555925567,0.045509578406493015,-0.011005835505576442,0.03510890266754911,-0.04083401620156903,-0.012715932792582176,-0.03373228932691972,-0.029220457425760377,-0.028184634480072197,-0.010704007409425677,-0.0019304733404532785,-0.0026257413483294313,-0.028760337969963246,-0.07105478040514421,-0.0412794461408646,-0.004195314794150657,-0.03309903047966438,-0.032568058587771315,-0.039443689859968246,0.06448487511165842,0.01232854975916393,-0.041622017339563354,-0.023436001539694187,-0.007469720840773674,-0.013916468946381811,0.01067812693151,-0.0006661875384337707,-0.005921333633615589,-0.0029167788154360564,-0.0014383138864130169,0.007872493845518462,0.02680860145479581,0.019654999993016536,-0.011768956651183016,-0.006045667546375937,0.04128694295121733,0.017543308895277217,0.03846145610781577,-0.06376665884671832,0.012969970955380983,0.02834905592956203,-0.002191005208329041,0.05056406090640058,0.00012773135733387157,0.010143995867290298,0.04769369925514935,0.04476417420407497,0.00949509191294882,0.05466078570836961,-0.03858588994260211,-0.011509673345780586,-0.03374570073577586,0.028189164206964178,-0.03950796080176767,-0.005713000356417505,-0.012303590777190301,-0.004152363775826798,-0.0029962302499433216,-0.004265004284050576,-0.002807913825981092,-0.03384492566542285,-0.020420439676632884,0.04399781313852261,-0.0007009763393481081,-0.04248562684326644,0.02322047363471288,-0.05379142370583717,0.010844743701392951,-0.018904977077001357,-0.0353884712344454,-0.0036408549319331164,0.018646577354254998,-0.030271854067144877,-0.020931293978659053,0.018557023967472924,0.054611244933740685,0.02851595885837233,-0.015600260277461128
9,-0.016081570889772023,0.008876004258020457,-0.000784115327537463,0.003794486719736898,0.00999217532130931,-0.06265026058424682,-0.050961392585196684,-0.011094184983414085,-0.03226443661861728,-0.033658300557321,-0.016636786594631848,0.013035356759374696,-0.06367830104848944,0.03286465989484932,-0.007243398732229702,-0.000909353743857181,-0.012501773597908824,0.0165614514156198,-0.013826678022044904,-0.0667661691728439,0.06436069554538308,0.012078356857148146,0.001103664523253502,0.045112966045805274,-0.00892872499956208,0.03675179593563747,-0.04007944532148148,-0.010559563060639267,-0.03028006170441861,-0.028653366762557392,-0.027472258838485735,-0.01050617599066927,-0.0016352913993981464,-0.0025326209349862496,-0.028790972035354266,-0.07007825269482462,-0.04112627740600017,-0.004358167007286335,-0.03419550360440168,-0.03361947755215849,-0.03879015386185747,0.06387586478932751,0.011271155172332582,-0.0402972002279883,-0.023387419945671437,-0.006963331701869621,-0.013744641994366898,0.010809913534288394,0.0005936312787900167,-0.005891808969710368,-0.00411195849924394,-0.0014218141742712177,0.01121654840909401,0.027653612995897258,0.020104326736351957,-0.011056606310769494,-0.004423281805327304,0.04100005610689136,0.017422915825409755,0.03718243655426728,-0.06448654282066854,0.011416294881246156,0.027584692429793608,-0.002096758575326792,0.050028230310109126,0.0010232066239418238,0.01123300846458007,0.04788674550054545,0.044155552088822526,0.010105200792832265,0.05465185724891472,-0.03831957295379965,-0.010706788801772288,-0.03262529431999599,0.029575895605270207,-0.03863023652897111,-0.005692407559795019,-0.012599275192217242,-0.005117473913476978,-0.002563486319130193,-0.006437570631871479,-0.002214496115818303,-0.03322514179290496,-0.02090132030366589,0.04554442490797068,0.00034779702517454285,-0.04112809409385445,0.026130589794305516,-0.05181671141299384,0.01364947766400947,-0.016143271304671154,-0.03617414003981724,-0.002858328974355694,0.018698174658565492,-0.028762857664205797,-0.02128810720235038,0.016896044712672583,0.05424913125152972,0.026151536185806255,-0.014954783034981826
